"frame1","frame2","distance"
5,74,759.0948557327997
5,75,766.6159403508383
5,76,774.3545699484184
5,77,782.3042886243178
5,78,795
5,79,807.7747210701756
5,80,820.6247619953958
5,81,833.5466393669883
5,82,846.5370635713477
5,83,859.5929269136642
5,84,872.7112924673314
5,85,885.889383614004
5,86,899.1245742387425
5,87,912.4143795447329
5,88,925.7564474525684
5,89,939.1485505499116
5,90,952.5885785584456
5,91,966.0745312862771
5,92,979.6045120353417
5,93,993.1767214348109
5,94,1006.78945167299
5,95,1020.4410811016969
5,96,1034.130069188591
5,97,1047.8549517943788
5,98,1061.6143367532297
5,99,1075.4068997360953
5,100,1089.231380377925
5,101,1103.0865786510142
5,102,1116.9713514678879
5,103,1130.884609498246
5,104,1144.8253141855312
5,105,1158.7924749496779
5,106,1172.7851465635126
5,107,1186.8024266911489
5,108,1200.8434535775261
5,109,1214.9074038789952
5,110,1228.9934906255605
5,111,1243.1009613060396
5,112,1257.2290960680157
5,113,1271.3772060250255
5,114,1285.5446316639498
5,115,1299.7307413460683
5,116,1304.655126843872
5,117,1309.7327971765844
5,118,1314.961976636587
5,119,1320.340865079923
5,120,1325.867640452847
5,121,1331.5404612703287
5,122,1337.3574690410937
5,123,1343.3167906342867
5,124,1349.4165405833737
5,125,1355.6548233234005
5,126,1362.0297353582264
5,127,1368.5393673548451
5,128,1375.1818061623708
5,129,1381.9551367537226
5,130,1388.8574440884852
5,131,1395.886814895821
5,132,1403.0413393767128
5,133,1410.319112825179
5,134,1417.718237168444
5,135,1425.2368224263644
5,136,1432.8729880907101
5,137,1440.6248644251564
5,138,1448.4905936870975
6,0,90
6,1,75
6,2,60
6,3,45
6,4,30
6,5,15
6,6,0
6,7,15
6,8,30
6,9,45
6,10,60
6,11,75
6,12,90
6,13,105
6,14,120
6,15,135
6,16,150
6,17,165
6,18,180
6,19,195
6,20,210
6,21,225
6,22,225.49944567559362
6,23,226.99118925632334
6,24,229.4558781116753
6,25,232.86262044390037
6,26,237.17082451262846
6,27,242.33241632105268
6,28,248.29418035870273
6,29,255
6,30,262.39283526803854
6,31,270.4163456597992
6,32,279.0161285660741
6,33,291.247317584214
6,34,303.7268509697488
6,35,316.4253466459348
6,36,329.31747600150226
6,37,342.3813663153998
6,38,355.59808773389096
6,39,368.9512162874653
6,40,382.4264635194589
6,41,396.01136347332255
6,42,409.69500851242987
6,43,423.46782640479313
6,44,437.3213921133975
6,45,451.2482686947397
6,46,465.2418725781247
6,47,479.2963592601137
6,48,493.4065261019558
6,49,507.56772947065895
6,50,521.7758139277826
6,51,536.0270515561691
6,52,550.3180898353243
6,53,564.6459067415614
6,54,579.0077719685635
6,55,593.4012133455744
6,56,607.8239876806442
6,57,622.2740553807462
6,58,636.7495583037337
6,59,651.2488003827723
6,60,665.7702306351644
6,61,669.6454285664914
6,62,673.8323233564861
6,63,678.3251432757008
6,64,683.117852204142
6,65,688.2041848172678
6,66,693.5776813018135
6,67,699.2317212483999
6,68,705.1595564125895
6,69,711.3543420827626
6,70,717.8091668403239
6,71,724.5170805439993
6,72,731.4711204141965
6,73,738.6643351347078
6,74,746.0898069267533
6,75,753.7406715840667
6,76,761.6101364871663
6,77,769.69149664005
6,78,782.3042886243178
6,79,795
6,80,807.7747210701756
6,81,820.6247619953958
6,82,833.5466393669883
6,83,846.5370635713477
6,84,859.5929269136642
6,85,872.7112924673314
6,86,885.889383614004
6,87,899.1245742387425
6,88,912.4143795447329
6,89,925.7564474525684
6,90,939.1485505499116
6,91,952.5885785584456
6,92,966.0745312862771
6,93,979.6045120353417
6,94,993.1767214348109
6,95,1006.78945167299
6,96,1020.4410811016969
6,97,1034.130069188591
6,98,1047.8549517943788
6,99,1061.6143367532297
6,100,1075.4068997360953
6,101,1089.231380377925
6,102,1103.0865786510142
6,103,1116.9713514678879
6,104,1130.884609498246
6,105,1144.8253141855312
6,106,1158.7924749496779
6,107,1172.7851465635126
6,108,1186.8024266911489
6,109,1200.8434535775261
6,110,1214.9074038789952
6,111,1228.9934906255605
6,112,1243.1009613060396
6,113,1257.2290960680157
6,114,1271.3772060250255
6,115,1285.5446316639498
6,116,1290.5231497342463
6,117,1295.6562043999172
6,118,1300.9419664227917
6,119,1306.3785821881802
6,120,1311.9641763401926
6,121,1317.6968543637038
6,122,1323.5747051073467
6,123,1329.5958032424742
6,124,1335.7582116535912
6,125,1342.0599837563148
6,126,1348.4991657394528
6,127,1355.07379872832
6,128,1361.7819208669207
6,129,1368.6215693170993
6,130,1375.590782173245
6,131,1382.687600291548
6,132,1389.910069033245
6,133,1397.2562399216545
6,134,1404.7241722131787
6,135,1412.3119343827693
6,136,1420.0176055246638
6,137,1427.8392766694717
6,138,1435.7750520189436
7,0,105
7,1,90
7,2,75
7,3,60
7,4,45
7,5,30
7,6,15
7,7,0
7,8,15
7,9,30
7,10,45
7,11,60
7,12,75
7,13,90
7,14,105
7,15,120
7,16,135
7,17,150
7,18,165
7,19,180
7,20,195
7,21,210
7,22,210.535032714273
7,23,212.13203435596427
7,24,214.76731594914529
7,25,218.40329667841556
7,26,222.9910312097776
7,27,228.47319317591726
7,28,234.7871376374779
7,29,241.8677324489565
7,30,249.64975465639858
7,31,258.0697580112788
7,32,267.0674072214728
7,33,279.0161285660741
7,34,291.247317584214
7,35,303.7268509697488
7,36,316.4253466459348
7,37,329.31747600150226
7,38,342.3813663153998
7,39,355.59808773389096
7,40,368.9512162874653
7,41,382.4264635194589
7,42,396.01136347332255
7,43,409.69500851242987
7,44,423.46782640479313
7,45,437.3213921133975
7,46,451.2482686947397
7,47,465.2418725781247
7,48,479.2963592601137
7,49,493.4065261019558
7,50,507.56772947065895
7,51,521.7758139277826
7,52,536.0270515561691
7,53,550.3180898353243
7,54,564.6459067415614
7,55,579.0077719685635
7,56,593.4012133455744
7,57,607.8239876806442
7,58,622.2740553807462
7,59,636.7495583037337
7,60,651.2488003827723
7,61,655.2098900352466
7,62,659.4884381094182
7,63,664.0783086353597
7,64,668.9730936293328
7,65,674.1661516273269
7,66,679.6506455525515
7,67,685.4195795277517
7,68,691.4658342969666
7,69,697.7822009767805
7,70,704.3614129124337
7,71,711.1961754677819
7,72,718.2791936287728
7,73,725.6031973468695
7,74,733.1609645909962
7,75,740.9453421137082
7,76,748.9492639691957
7,77,757.1657678474378
7,78,769.69149664005
7,79,782.3042886243178
7,80,795
7,81,807.7747210701756
7,82,820.6247619953958
7,83,833.5466393669883
7,84,846.5370635713477
7,85,859.5929269136642
7,86,872.7112924673314
7,87,885.889383614004
7,88,899.1245742387425
7,89,912.4143795447329
7,90,925.7564474525684
7,91,939.1485505499116
7,92,952.5885785584456
7,93,966.0745312862771
7,94,979.6045120353417
7,95,993.1767214348109
7,96,1006.78945167299
7,97,1020.4410811016969
7,98,1034.130069188591
7,99,1047.8549517943788
7,100,1061.6143367532297
7,101,1075.4068997360953
7,102,1089.231380377925
7,103,1103.0865786510142
7,104,1116.9713514678879
7,105,1130.884609498246
7,106,1144.8253141855312
7,107,1158.7924749496779
7,108,1172.7851465635126
7,109,1186.8024266911489
7,110,1200.8434535775261
7,111,1214.9074038789952
7,112,1228.9934906255605
7,113,1243.1009613060396
7,114,1257.2290960680157
7,115,1271.3772060250255
7,116,1276.4109839702885
7,117,1281.6005617976298
7,118,1286.944054728099
7,119,1292.439553712281
7,120,1298.085128179196
7,121,1303.8788287260438
7,122,1309.8186897429734
7,123,1315.9027319676786
7,124,1322.1289649652185
7,125,1328.4953895290716
7,126,1335
7,127,1341.640786499874
7,128,1348.415737078146
7,129,1355.322839769182
7,130,1362.3600845591448
7,131,1369.5254652615993
7,132,1376.8169813014365
7,133,1384.2326394071192
7,134,1391.7704552116345
7,135,1399.4284547628722
7,136,1407.2046759444768
7,137,1415.0971698084907
7,138,1423.1040018213707
8,0,120
8,1,105
8,2,90
8,3,75
8,4,60
8,5,45
8,6,30
8,7,15
8,8,0
8,9,15
8,10,30
8,11,45
8,12,60
8,13,75
8,14,90
8,15,105
8,16,120
8,17,135
8,18,150
8,19,165
8,20,180
8,21,195
8,22,195.57607215607945
8,23,197.29419656948858
8,24,200.124960961895
8,25,204.02205763103166
8,26,208.92582415776178
8,27,214.76731594914529
8,28,221.472345903501
8,29,228.96506283710622
8,30,237.17082451262846
8,31,246.01829200285087
8,32,255.44079548889601
8,33,267.0674072214728
8,34,279.0161285660741
8,35,291.247317584214
8,36,303.7268509697488
8,37,316.4253466459348
8,38,329.31747600150226
8,39,342.3813663153998
8,40,355.59808773389096
8,41,368.9512162874653
8,42,382.4264635194589
8,43,396.01136347332255
8,44,409.69500851242987
8,45,423.46782640479313
8,46,437.3213921133975
8,47,451.2482686947397
8,48,465.2418725781247
8,49,479.2963592601137
8,50,493.4065261019558
8,51,507.56772947065895
8,52,521.7758139277826
8,53,536.0270515561691
8,54,550.3180898353243
8,55,564.6459067415614
8,56,579.0077719685635
8,57,593.4012133455744
8,58,607.8239876806442
8,59,622.2740553807462
8,60,636.7495583037337
8,61,640.8002808988149
8,62,645.174395028197
8,63,649.8653706730341
8,64,654.8663985882922
8,65,660.1704325399616
8,66,665.7702306351644
8,67,671.6583953171433
8,68,677.8274116617002
8,69,684.2696836774226
8,70,690.9775683768613
8,71,697.9434074479105
8,72,705.1595564125895
8,73,712.6184112131822
8,74,720.3124322125782
8,75,728.2341656363013
8,76,736.3762625180146
8,77,744.7314952383846
8,78,757.1657678474378
8,79,769.69149664005
8,80,782.3042886243178
8,81,795
8,82,807.7747210701756
8,83,820.6247619953958
8,84,833.5466393669883
8,85,846.5370635713477
8,86,859.5929269136642
8,87,872.7112924673314
8,88,885.889383614004
8,89,899.1245742387425
8,90,912.4143795447329
8,91,925.7564474525684
8,92,939.1485505499116
8,93,952.5885785584456
8,94,966.0745312862771
8,95,979.6045120353417
8,96,993.1767214348109
8,97,1006.78945167299
8,98,1020.4410811016969
8,99,1034.130069188591
8,100,1047.8549517943788
8,101,1061.6143367532297
8,102,1075.4068997360953
8,103,1089.231380377925
8,104,1103.0865786510142
8,105,1116.9713514678879
8,106,1130.884609498246
8,107,1144.8253141855312
8,108,1158.7924749496779
8,109,1172.7851465635126
8,110,1186.8024266911489
8,111,1200.8434535775261
8,112,1214.9074038789952
8,113,1228.9934906255605
8,114,1243.1009613060396
8,115,1257.2290960680157
8,116,1262.3192939981548
8,117,1267.5665662993797
8,118,1272.9689705566275
8,119,1278.5245402416022
8,120,1284.2312875802395
8,121,1290.0872063546713
8,122,1296.090274633677
8,123,1302.2384574262887
8,124,1308.5297092538633
8,125,1314.961976636587
8,126,1321.5332004910053
8,127,1328.2413184357729
8,128,1335.0842670033978
8,129,1342.0599837563148
8,130,1349.1664093061315
8,131,1356.401489235396
